mound_id,relief_m,recovered
18-L-7,3.02,True
19-L-2,0.91,True
19-M-1,4.01,True
19-M-2,2.01,False
21-M-1,5.23,False
21-M-11,4.21,True
21-M-4,1.57,True
21-M-5,6.88,True
21-N-1,3.42,True
21-N-10,3.29,True
21-N-5,1.96,True
21-N-6,3.55,True
21-N-7,3.29,True
21-N-9,1.41,True
22-M-1,0.62,False
22-N-11_m1,2.19,True
22-N-11_m2,1.22,False
22-N-13_m1,0.76,True
22-N-13_m2,0.82,True
22-N-13_m3,0.84,True
22-N-13_m5,0.92,False
22-N-13_m6,0.93,True
22-N-14,2.31,True
22-N-16,0.58,True
22-N-21_m1,3.3,True
22-N-21_m2,3.01,False
22-N-9_m1,3.32,True
22-N-9_m2,3.22,True
22-N-9_m3,2.58,True
21-N-3,3.1,True
22-N-20,2.27,True
22-N-13_m4,0.66,True
19-L-4,1.67,True
18-M-3,0.48,True
