pt,status,best_m
"18-L-7+(+500,+0)",ok,55.94640292279746
"18-L-7+(-500,+0)",ok,27.586228448267445
"18-L-7+(+0,+500)",ok,104.31682510506155
"18-L-7+(+0,-500)",ok,67.0
"19-L-2+(+500,+0)",ok,88.54942122905152
"19-L-2+(-500,+0)",ok,69.85699678629192
"19-L-2+(+0,+500)",ok,106.00471687618433
"19-L-2+(+0,-500)",ok,59.64059020499378
"19-M-1+(+500,+0)",ok,63.0317380372777
"19-M-1+(-500,+0)",ok,123.06502346320826
"19-M-1+(+0,+500)",ok,38.01315561749642
"19-M-1+(+0,-500)",ok,74.33034373659252
"19-M-2+(+500,+0)",ok,156.18578680533003
"19-M-2+(-500,+0)",ok,
"19-M-2+(+0,+500)",ok,60.60528029800704
"19-M-2+(+0,-500)",ok,118.1397477566293
"21-M-1+(+500,+0)",ok,137.87313008704777
"21-M-1+(-500,+0)",ok,27.51363298439521
"21-M-1+(+0,+500)",ok,92.59049627256569
"21-M-1+(+0,-500)",ok,69.42621983083913
"21-M-11+(+500,+0)",ok,96.87620966986684
"21-M-11+(-500,+0)",ok,
"21-M-11+(+0,+500)",ok,122.58874336577564
"21-M-11+(+0,-500)",ok,69.6419413859206
"21-M-4+(+500,+0)",ok,12.041594578792296
"21-M-4+(-500,+0)",ok,136.56134152826706
"21-M-4+(+0,+500)",ok,37.013511046643494
"21-M-4+(+0,-500)",ok,49.09175083453431
"21-M-5+(+500,+0)",ok,60.41522986797286
"21-M-5+(-500,+0)",ok,50.695167422546305
"21-M-5+(+0,+500)",ok,47.50789408087881
"21-M-5+(+0,-500)",ok,122.38055401083949
"21-N-1+(+500,+0)",ok,97.57561170702442
"21-N-1+(-500,+0)",ok,113.00442469213318
"21-N-1+(+0,+500)",ok,35.12833614050059
"21-N-1+(+0,-500)",ok,
"21-N-10+(+500,+0)",ok,79.02531240052139
"21-N-10+(-500,+0)",ok,46.22769732530488
"21-N-10+(+0,+500)",ok,32.0
"21-N-10+(+0,-500)",ok,20.396078054371138
"21-N-5+(+500,+0)",ok,69.35416353759881
"21-N-5+(-500,+0)",ok,54.405882034941776
"21-N-5+(+0,+500)",ok,86.03487664894976
"21-N-5+(+0,-500)",ok,22.02271554554524
"21-N-6+(+500,+0)",ok,118.68024266911489
"21-N-6+(-500,+0)",ok,108.16653826391968
"21-N-6+(+0,+500)",ok,
"21-N-6+(+0,-500)",ok,126.11502686040232
"21-N-7+(+500,+0)",ok,114.9826073804208
"21-N-7+(-500,+0)",ok,148.29699929533302
"21-N-7+(+0,+500)",ok,33.24154027718932
"21-N-7+(+0,-500)",ok,21.93171219946131
"21-N-9+(+500,+0)",ok,38.05259518088089
"21-N-9+(-500,+0)",ok,12.206555615733702
"21-N-9+(+0,+500)",ok,91.67878707749138
"21-N-9+(+0,-500)",ok,44.654227123532216
"22-M-1+(+500,+0)",ok,48.84669896727925
"22-M-1+(-500,+0)",ok,37.16180835212409
"22-M-1+(+0,+500)",ok,73.81734213584231
"22-M-1+(+0,-500)",ok,40.496913462633174
"22-N-11_m1+(+500,+0)",ok,102.39628899525607
"22-N-11_m1+(-500,+0)",ok,38.47076812334269
"22-N-11_m1+(+0,+500)",ok,
"22-N-11_m1+(+0,-500)",ok,41.593268686170845
"22-N-11_m2+(+500,+0)",ok,18.384776310850235
"22-N-11_m2+(-500,+0)",ok,81.39410298049853
"22-N-11_m2+(+0,+500)",ok,69.35416353759881
"22-N-11_m2+(+0,-500)",ok,43.18564576337837
"22-N-13_m1+(+500,+0)",ok,9.848857801796104
"22-N-13_m1+(-500,+0)",ok,141.94717327231282
"22-N-13_m1+(+0,+500)",ok,42.20189569201838
"22-N-13_m1+(+0,-500)",ok,9.848857801796104
"22-N-13_m2+(+500,+0)",ok,60.440052945046304
"22-N-13_m2+(-500,+0)",ok,45.044422518220834
"22-N-13_m2+(+0,+500)",ok,73.00684899377592
"22-N-13_m2+(+0,-500)",ok,35.608987629529715
"22-N-13_m3+(+500,+0)",ok,19.026297590440446
"22-N-13_m3+(-500,+0)",ok,73.43704787094863
"22-N-13_m3+(+0,+500)",ok,69.35416353759881
"22-N-13_m3+(+0,-500)",ok,51.884487084291386
"22-N-13_m5+(+500,+0)",ok,87.28115489611719
"22-N-13_m5+(-500,+0)",ok,189.76301009416983
"22-N-13_m5+(+0,+500)",ok,24.08318915758459
"22-N-13_m5+(+0,-500)",ok,71.8679344353238
"22-N-13_m6+(+500,+0)",ok,32.14031735997639
"22-N-13_m6+(-500,+0)",ok,18.110770276274835
"22-N-13_m6+(+0,+500)",ok,24.186773244895647
"22-N-13_m6+(+0,-500)",ok,40.11234224026316
"22-N-14+(+500,+0)",ok,94.30270409696638
"22-N-14+(-500,+0)",ok,81.27115109311545
"22-N-14+(+0,+500)",ok,13.038404810405298
"22-N-14+(+0,-500)",ok,38.63935817272331
"22-N-16+(+500,+0)",ok,38.62641583165593
"22-N-16+(-500,+0)",ok,
"22-N-16+(+0,+500)",ok,8.0
"22-N-16+(+0,-500)",ok,23.769728648009426
"22-N-21_m1+(+500,+0)",ok,38.600518131237564
"22-N-21_m1+(-500,+0)",ok,81.5659242576212
"22-N-21_m1+(+0,+500)",ok,48.82622246293481
"22-N-21_m1+(+0,-500)",ok,43.104524124504614
"22-N-21_m2+(+500,+0)",ok,88.60022573334675
"22-N-21_m2+(-500,+0)",ok,18.681541692269406
"22-N-21_m2+(+0,+500)",ok,58.83026432033091
"22-N-21_m2+(+0,-500)",ok,84.48076704197234
"22-N-9_m1+(+500,+0)",ok,142.87407042567241
"22-N-9_m1+(-500,+0)",ok,16.0312195418814
"22-N-9_m1+(+0,+500)",ok,11.180339887498949
"22-N-9_m1+(+0,-500)",ok,10.44030650891055
"22-N-9_m2+(+500,+0)",ok,88.02272433866155
"22-N-9_m2+(-500,+0)",ok,37.12142238654117
"22-N-9_m2+(+0,+500)",ok,25.059928172283335
"22-N-9_m2+(+0,-500)",ok,78.54934754662193
"22-N-9_m3+(+500,+0)",ok,
"22-N-9_m3+(-500,+0)",ok,35.35533905932738
"22-N-9_m3+(+0,+500)",ok,50.80354318352215
"22-N-9_m3+(+0,-500)",ok,71.78439941937245
"21-N-3+(+500,+0)",ok,41.036569057366385
"21-N-3+(-500,+0)",ok,23.40939982143925
"21-N-3+(+0,+500)",ok,137.05838172107534
"21-N-3+(+0,-500)",ok,28.600699292150182
"22-N-20+(+500,+0)",ok,76.55063683601855
"22-N-20+(-500,+0)",ok,55.90169943749474
"22-N-20+(+0,+500)",ok,57.14017850864661
"22-N-20+(+0,-500)",ok,58.463663928973865
"22-N-13_m4+(+500,+0)",ok,80.80222769206304
"22-N-13_m4+(-500,+0)",ok,24.20743687382041
"22-N-13_m4+(+0,+500)",ok,72.91776189653656
"22-N-13_m4+(+0,-500)",ok,79.84985911070852
"19-L-4+(+500,+0)",ok,24.839484696748443
"19-L-4+(-500,+0)",ok,70.21395872616783
"19-L-4+(+0,+500)",ok,
"19-L-4+(+0,-500)",ok,185.69868066305693
"18-M-3+(+500,+0)",ok,13.0
"18-M-3+(-500,+0)",ok,49.040799340956916
"18-M-3+(+0,+500)",skipped,
"18-M-3+(+0,-500)",ok,79.90619500389191
