pt,status,ring,offset,R,strict,contain
"38BU0007+(+500,+0)",ok,True,22.4,42,True,True
"38BU0007+(-500,+0)",ok,True,26.9,32,True,True
"38BU0007+(+0,+500)",ok,True,55.9,47,False,True
"38BU0007+(+0,-500)",ok,True,15.0,38,True,True
"38BU0008+(+500,+0)",ok,True,35.4,37,True,True
"38BU0008+(-500,+0)",ok,True,147.1,41,False,False
"38BU0008+(+0,+500)",ok,True,130.9,30,False,False
"38BU0008+(+0,-500)",ok,True,15.8,18,True,True
"Davis_32+(+500,+0)",ok,True,83.2,20,False,False
"Davis_32+(-500,+0)",ok,True,20.6,37,True,True
"Davis_32+(+0,+500)",ok,True,14.1,32,True,True
"Davis_32+(+0,-500)",ok,True,31.6,29,False,True
"mound+(+500,+0)",ok,True,10.0,40,True,True
"mound+(-500,+0)",ok,True,15.0,54,True,True
"mound+(+0,+500)",ok,True,11.2,39,True,True
"mound+(+0,-500)",ok,True,18.0,37,True,True
"38BU0348+(+500,+0)",ok,True,52.2,52,False,True
"38BU0348+(-500,+0)",ok,True,10.0,48,True,True
"38BU0348+(+0,+500)",ok,True,47.4,15,False,False
"38BU0348+(+0,-500)",ok,True,60.2,33,False,False
"38BU0300+(+500,+0)",ok,True,146.4,30,False,False
"38BU0300+(-500,+0)",ok,True,18.0,41,True,True
"38BU0300+(+0,+500)",ok,True,7.1,23,True,True
"38BU0300+(+0,-500)",ok,True,20.6,30,True,True
"38BU0301+(+500,+0)",ok,True,123.0,15,False,False
"38BU0301+(-500,+0)",ok,True,15.0,40,True,True
"38BU0301+(+0,+500)",ok,True,11.2,25,True,True
"38BU0301+(+0,-500)",ok,True,26.9,33,True,True
"32BU1227+(+500,+0)",ok,True,18.0,26,True,True
"32BU1227+(-500,+0)",ok,True,118.5,41,False,False
"32BU1227+(+0,+500)",ok,True,20.0,37,True,True
"32BU1227+(+0,-500)",ok,True,36.1,35,False,True
"Davis_2+(+500,+0)",ok,True,82.8,32,False,False
"Davis_2+(-500,+0)",ok,True,75.0,48,False,False
"Davis_2+(+0,+500)",ok,True,72.1,42,False,False
"Davis_2+(+0,-500)",ok,True,5.0,42,True,True
"Davis_35+(+500,+0)",ok,True,53.9,47,False,True
"Davis_35+(-500,+0)",ok,True,145.3,40,False,False
"Davis_35+(+0,+500)",ok,True,94.9,14,False,False
"Davis_35+(+0,-500)",ok,True,71.6,33,False,False
